date,warehouse,sku,region,turnover_share
2026-01-31,FBO_Main,SKU-001,Центральный,97.9
2026-01-31,FBO_Main,SKU-002,Центральный,97.9
2026-01-31,FBO_Main,SKU-003,Центральный,97.9
2026-01-31,FBO_Main,SKU-004,Центральный,97.9
2026-01-31,FBO_Main,SKU-005,Центральный,97.9
2026-01-31,FBO_Main,SKU-006,Центральный,97.9
2026-01-31,FBO_Main,SKU-007,Центральный,97.9
2026-01-31,FBO_Main,SKU-008,Центральный,97.9
2026-01-31,FBO_Main,SKU-009,Центральный,97.9
2026-01-31,FBO_Main,SKU-010,Центральный,97.9
